Factor,Question,Option 1,Option 2,Option 3,Option 4,Option 5
C4,Are competitive or substitute products active in the market?,1: There is a high degree of development of competitive or substitute technology,2: It is probable that competitive or substitute technology is being developed,3: There is a 50% chance that competitive or substitute technology is being developed,4: Exclusivity in the market is a good probablility,5: Exclusivity in the market is by and large certain
C5,What ultimate sales price is the consumer willing to pay compared to existing known products?,1: Attainable sales price significantly lower than competitors` price,2: Lower than competitors` price,3: Price equal to competitors`,4: Higher than competitors` price,5: Significantly higher than competitors` price
C6,What is the potential extra turnover to be obtained within the business area when utilising the patented technology?,"1: Very small extra turnover in the business area (½%) [0,005]","2: Small (2%) [0,02]","3: Medium (4%) [0,04]","4: Large (6%) [0,06]","5: Very large (10%) [0,1]"
C7,What knowledge does the company have of application potential and commercial opportunities?,1: Current company knowledge is of limited application potential only,2: Limited knowledge of application potential and commercial opportunities,3: Knowledge of application potential – limited knowledge of commercial opportunities,4: Knowledge of application potential and commercial opportunities,5: The company has a full knowledge of application potential and commercial opportunities
C8,Does the patented technology embody potential revenue from licensing agreements?,1: No relevant prospects for creating revenue from licensing agreements,2: Licensing revenue is possible to a lesser degree,3: Good prospects/ potential for creating revenue from licensing agreements,4: Very good prospects/ potential for creating revenue from licensing agreements,5: Extremely good prospects/ potential for creating revenue from licensing agreements
C9,Do commercial activities require special permits/ licences,1: Permit/licence required. Refusal from public authorities,2: Permit/ licence application not submitted to authorities or already submitted but provisionally refused,3: Permit/ licence application submitted to authorities - no answer yet,4: Limited-term permit/ licence approval from public authorities,"5: Life-term permit/ licence approval from public authorities, or no permit/licence required to sell patent/product in the market"
,,,,,,
D1,Can the existing business area output in the relevant market be maintained without utilising the patented technology?,1: 100% of business output can be maintained without the patented technology [1],"2: 75% [0,75]","3: 50% [0,5]","4: 25% [0,25]",5: 0% [0]
D2,What are the necessary future development costs?,"1: Extremely high investment (30% of business area turnover) [0,3]","2: Very high (15%) [0,15]","3: High (8%) [0,08]","4: Medium (2.5%) [0,025]","5: Low (½%) [0,005]"
D3,What is the index for cost of production when implementing the patented technology?,"1: 30% increase due to use of the patented technology [1,3]","2: 15% increase due to use of the patented technology [1,15]",3: No increase or decrease [1],"4: 15% decrease due to use of the patented technology [0,85]","5: 30% decrease due to use of the patented technology [0,7]"
D4,What investment is necessary for production equipment?,"1: 120% of present investment intensity [1,2]","2: 110% of present investment intensity [1,1]",3: 100% of present investment intensity - investment-neutral [1],"4: 70% of present investment intensity [0,7]","5: 50% of present investment intensity [0,5]"
D5,Does the company have the financial capacity to cover patent renewal fees in the relevant markets?,1: Maintenance in one country,2: 2-5 countries,3: 5-10 countries,4: 10-15 countries,5: Over 15 countries/all current and potential countries
D6,What is the patented technology`s contribution to company profits?,1: Less than 3% of accumulated profits,2: Between 3 and 10% of accumulated profits,3: Between 10 and 15% of accumulated profits,4: Between 15 and 25% of accumulated profits,5: More than 25% of accumulated profits
,,,,,,
E1,Is the object of the patent to secure position held in existing markets?,1: No,2: To a minor degree,3: To some degree,4: To a large degree,5: To a very large degree
E2,Is the object of the patent to win new markets?,1: No,2: To a minor degree,3: To some degree,4: To a large degree,5: To a very large degree
E3,Is the object of the patent part of an image-building process?,1: No,2: To a minor degree,3: To some degree,4: To a large degree,5: To a very large degree
E4,Is the object of the patent to ensure ”freedom to operate” - to ensure the space for your own development activities?,1: No,2: To a minor degree,3: To some degree,4: To a large degree,5: To a very large degree
E5,Is the object of the patent to restrict competitive development?,1: No,2: To a minor degree,3: To some degree,4: To a large degree,5: To a very large degree
E6,Does the company use the patent for licence or sales agreements?,1: No,2: To a minor degree,3: To some degree,4: To a large degree,5: To a very large degree
E7,Does the patent form part of the company’s core-technology areas?,1: No,2: To a minor degree,3: To some degree,4: To a large degree,5: To a very large degree
E8,Is there alignment between the patent and the company’s business strategy?,1: No,2: To a minor degree,3: To some degree,4: To a large degree,5: To a very large degree
